humidity,precipMM,tempC,windspeedKmph,HeatIndexC
41,0,28,8,28
40,0,28,7,28
44,0,27,6,27
47,0,27,5,27
51,0,27,4,27
54,0,26,7,27
57,0,26,3,26
61,0,25,3,26
64,0,23,3,25
67,0,22,2,25
70,0,21,2,24
71,0,21,2,21
72,0,21,3,21
73,0,20,4,20
74,0,20,4,20
75,0,20,5,20
75,0,20,5,20
73,0,19,6,19
70,0,20,8,20
67,0,20,9,20
59,0,21,9,24
50,0,23,10,25
41,0,26,10,27
37,0,28,8,28
33,0,29,7,29
29,0,30,5,30
34,0,30,5,29
39,0,28,4,28
44,0,28,4,27
48,0,27,3,27
52,0,26,2,27
56,0,25,1,26
57,0,24,1,25
57,0,23,2,25
57,0,22,2,25
57,0,22,2,25
56,0,22,3,25
56,0,22,3,25
55,0,21,3,21
55,0,21,4,21
54,0,22,5,24
53,0,20,6,20
51,0,20,7,20
50,0,20,8,20
44,0,21,8,24
38,0,24,8,25
32,0,27,8,27
30,0,28,7,28
28,0,30,6,29
26,0,30,5,30
31,0,30,4,29
37,0,29,3,28
42,0,28,3,27
44,0,27,2,27
45,0,27,2,27
47,0,26,2,26
48,0,25,2,25
50,0,23,2,25
51,0,23,1,25
52,0,23,2,25
53,0,22,3,25
54,0,22,4,25
55,0,22,4,24
56,0,21,5,21
56,0,20,5,20
54,0,21,6,21
52,0,21,6,24
50,0,21,6,21
43,0,22,7,24
37,0,24,7,25
30,0,27,7,27
28,0,28,6,28
26,0,30,5,29
24,0,30,4,29
27,0,31,3,29
30,0,29,3,28
32,0,28,3,27
37,0,28,2,27
42,0,26,1,26
47,0,25,0,25
48,0,24,1,25
49,0,23,1,25
50,0,22,2,24
53,0,21,2,21
57,0,20,2,20
60,0,19,3,19
57,0,18,3,18
54,0,19,3,19
51,0,19,3,19
49,0,19,4,19
47,0,19,5,19
45,0,19,6,19
40,0,20,9,20
35,0,23,13,25
31,0,26,16,26
29,0,27,14,27
27,0,28,13,28
26,0,29,11,28
27,0,30,9,28
28,0,29,8,28
29,0,28,6,27
34,0,27,6,26
38,0,26,6,26
43,0,25,6,25
44,0,24,6,25
45,0,22,6,24
46,0,21,6,24
47,0,21,6,21
47,0,20,6,20
48,0,20,7,20
50,0,20,5,20
52,0,20,4,20
53,0,19,2,19
51,0,19,3,19
50,0,19,4,19
48,0,19,5,19
41,0,20,9,20
34,0,23,12,25
27,0,26,12,26
25,0,27,15,27
24,0,29,15,28
22,0,29,14,28
23,0,31,12,29
